Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.1004,0,0,7.79431e-07,7.88765e-07
-0.098392,0,0,6.96466e-05,7.80325e-05
-0.096384,0,0,9.32596e-05,0.000118917
-0.094376,0,0,0.000108878,0.000150428
-0.092368,0,0,0.00012072,0.000176937
-0.09036,0,0,0.000130243,0.000200146
-0.088352,0,0,0.000138159,0.000220943
-0.086344,0,0,0.000144897,0.000239895
-0.084336,0,0,0.000150714,0.000257349
-0.082328,0,0,0.000155783,0.00027355
-0.08032,0,0,0.000160225,0.000288666
-0.078312,0,0,0.000164136,0.000302841
-0.076304,0,0,0.000167592,0.000316189
-0.074296,0,0,0.000170649,0.000328796
-0.072288,0,0,0.000173353,0.000340732
-0.07028,0,0,0.000175735,0.000352044
-0.068272,0,0,0.00017783,0.000362791
-0.066264,0,0,0.000179666,0.000373014
-0.064256,0,0,0.000181264,0.00038275
-0.062248,0,0,0.000182641,0.000392029
-0.06024,0,0,0.000183812,0.000400868
-0.058232,0,0,0.000184793,0.000409301
-0.056224,0,0,0.000185598,0.000417347
-0.054216,0,0,0.000186237,0.000425026
-0.052208,0,0,0.000186718,0.00043235
-0.0502,0,0,0.00018705,0.000439332
-0.048192,0,0,0.000187243,0.000445989
-0.046184,0,0,0.000187302,0.000452334
-0.044176,0,0,0.000187235,0.000458377
-0.042168,0,0,0.000187045,0.000464124
-0.04016,0,0,0.000186739,0.000469584
-0.038152,0,0,0.000186321,0.000474768
-0.036144,0,0,0.000185797,0.000479683
-0.034136,0,0,0.00018517,0.000484335
-0.032128,0,0,0.000184443,0.000488727
-0.03012,0,0,0.000183619,0.000492865
-0.028112,0,0,0.000182702,0.000496756
-0.026104,0,0,0.000181696,0.000500405
-0.024096,0,0,0.000180602,0.000503815
-0.022088,0,0,0.000179421,0.000506985
-0.02008,0,0,0.000178158,0.000509923
-0.018072,0,0,0.000176814,0.000512631
-0.016064,0,0,0.000175391,0.000515112
-0.014056,0,0,0.000173891,0.000517368
-0.012048,0,0,0.000172315,0.000519396
-0.01004,0,0,0.000170665,0.000521203
-0.008032,0,0,0.000168942,0.000522789
-0.006024,0,0,0.000167149,0.000524155
-0.004016,0,0,0.000165285,0.000525301
-0.002008,0,0,0.000163351,0.000526226
0,0,0,0.00016135,0.000526933
0.002008,0,0,0.000159282,0.00052742
0.004016,0,0,0.000157149,0.00052769
0.006024,0,0,0.000154949,0.000527737
0.008032,0,0,0.000152684,0.000527562
0.01004,0,0,0.000150356,0.000527165
0.012048,0,0,0.000147964,0.000526546
0.014056,0,0,0.00014551,0.000525702
0.016064,0,0,0.000142993,0.000524627
0.018072,0,0,0.000140413,0.000523322
0.02008,0,0,0.000137772,0.000521786
0.022088,0,0,0.00013507,0.000520016
0.024096,0,0,0.000132306,0.000518007
0.026104,0,0,0.000129481,0.000515752
0.028112,0,0,0.000126595,0.00051325
0.03012,0,0,0.000123647,0.000510499
0.032128,0,0,0.000120639,0.000507492
0.034136,0,0,0.00011757,0.000504223
0.036144,0,0,0.000114439,0.000500682
0.038152,0,0,0.000111246,0.000496868
0.04016,0,0,0.000107992,0.000492772
0.042168,0,0,0.000104675,0.000488387
0.044176,0,0,0.000101296,0.000483701
0.046184,0,0,9.78526e-05,0.000478703
0.048192,0,0,9.43457e-05,0.000473386
0.0502,0,0,9.07746e-05,0.000467738
0.052208,0,0,8.71383e-05,0.000461745
0.054216,0,0,8.34351e-05,0.000455387
0.056224,0,0,7.96646e-05,0.00044865
0.058232,0,0,7.58262e-05,0.000441519
0.06024,0,0,7.19185e-05,0.000433971
0.062248,0,0,6.79404e-05,0.000425985
0.064256,0,0,6.38891e-05,0.000417522
0.066264,0,0,5.97643e-05,0.000408561
0.068272,0,0,5.55645e-05,0.000399068
0.07028,0,0,5.12879e-05,0.000389
0.072288,0,0,4.69324e-05,0.000378309
0.074296,0,0,4.24951e-05,0.000366927
0.076304,0,0,3.79753e-05,0.000354798
0.078312,0,0,3.33711e-05,0.000341839
0.08032,0,0,2.86811e-05,0.00032795
0.082328,0,0,2.39034e-05,0.000312994
0.084336,0,0,1.9038e-05,0.0002968
0.086344,0,0,1.4088e-05,0.000279165
0.088352,0,0,9.06028e-06,0.000259791
0.09036,0,0,3.96972e-06,0.000238256
0.092368,0,0,-1.14976e-06,0.00021386
0.094376,0,0,-6.21573e-06,0.00018549
0.096384,0,0,-1.10075e-05,0.000150975
0.098392,0,0,-1.4654e-05,0.000104584
0.1004,0,0,-2.57713e-07,1.15968e-06
