displacement:0,displacement:1,Points:0,Points:1,Points:2
0,0,-0.101653,0,0
0,0,0.101653,0,0
6.41144e-05,8.44441e-05,-0.0991435,0,0
9.53674e-05,0.000128243,-0.0966335,0,0
0.000113728,0.000165124,-0.0941236,0,0
0.000127089,0.000195458,-0.0916136,0,0
0.000137502,0.000221875,-0.0891037,0,0
0.000145981,0.000245377,-0.0865937,0,0
0.000153045,0.00026664,-0.0840837,0,0
0.000159016,0.00028609,-0.0815738,0,0
0.000164107,0.000304025,-0.0790638,0,0
0.000168471,0.000320662,-0.0765538,0,0
0.000172217,0.000336165,-0.0740439,0,0
0.00017543,0.000350664,-0.0715339,0,0
0.000178176,0.000364258,-0.069024,0,0
0.000180509,0.000377032,-0.066514,0,0
0.000182471,0.000389054,-0.064004,0,0
0.000184098,0.00040038,-0.0614941,0,0
0.00018542,0.000411059,-0.0589841,0,0
0.000186461,0.000421132,-0.0564741,0,0
0.000187243,0.000430634,-0.0539642,0,0
0.000187785,0.000439596,-0.0514542,0,0
0.000188103,0.000448045,-0.0489443,0,0
0.00018821,0.000456004,-0.0464343,0,0
0.000188119,0.000463493,-0.0439243,0,0
0.000187842,0.00047053,-0.0414144,0,0
0.000187387,0.000477132,-0.0389044,0,0
0.000186763,0.000483313,-0.0363945,0,0
0.000185979,0.000489085,-0.0338845,0,0
0.000185041,0.000494459,-0.0313745,0,0
0.000183956,0.000499445,-0.0288646,0,0
0.000182729,0.000504051,-0.0263546,0,0
0.000181365,0.000508286,-0.0238446,0,0
0.000179869,0.000512156,-0.0213347,0,0
0.000178245,0.000515666,-0.0188247,0,0
0.000176498,0.000518821,-0.0163148,0,0
0.00017463,0.000521626,-0.0138048,0,0
0.000172645,0.000524084,-0.0112948,0,0
0.000170546,0.000526198,-0.00878487,0,0
0.000168335,0.000527969,-0.00627491,0,0
0.000166015,0.0005294,-0.00376494,0,0
0.000163588,0.000530491,-0.00125498,0,0
0.000161056,0.000531242,0.00125498,0,0
0.00015842,0.000531652,0.00376494,0,0
0.000155683,0.000531721,0.00627491,0,0
0.000152846,0.000531447,0.00878487,0,0
0.000149909,0.000530828,0.0112948,0,0
0.000146875,0.00052986,0.0138048,0,0
0.000143743,0.00052854,0.0163148,0,0
0.000140515,0.000526863,0.0188247,0,0
0.000137191,0.000524825,0.0213347,0,0
0.000133772,0.000522419,0.0238446,0,0
0.000130258,0.000519638,0.0263546,0,0
0.000126649,0.000516474,0.0288646,0,0
0.000122946,0.000512918,0.0313745,0,0
0.000119147,0.000508961,0.0338845,0,0
0.000115254,0.000504591,0.0363945,0,0
0.000111264,0.000499795,0.0389044,0,0
0.000107179,0.000494559,0.0414144,0,0
0.000102997,0.000488866,0.0439243,0,0
9.87169e-05,0.000482698,0.0464343,0,0
9.43379e-05,0.000476034,0.0489443,0,0
8.98586e-05,0.000468852,0.0514542,0,0
8.52774e-05,0.000461124,0.0539642,0,0
8.05926e-05,0.000452819,0.0564741,0,0
7.58022e-05,0.000443903,0.0589841,0,0
7.09039e-05,0.000434336,0.0614941,0,0
6.58952e-05,0.000424069,0.064004,0,0
6.07732e-05,0.000413047,0.066514,0,0
5.55348e-05,0.000401205,0.069024,0,0
5.01767e-05,0.000388464,0.0715339,0,0
4.46951e-05,0.000374727,0.0740439,0,0
3.90863e-05,0.000359875,0.0765538,0,0
3.33464e-05,0.00034376,0.0790638,0,0
2.74723e-05,0.000326186,0.0815738,0,0
2.14619e-05,0.000306899,0.0840837,0,0
1.53163e-05,0.000285541,0.0865937,0,0
9.04582e-06,0.000261601,0.0891037,0,0
2.67517e-06,0.000234262,0.0916136,0,0
-3.65368e-06,0.000202252,0.0941236,0,0
-9.68574e-06,0.000162246,0.0966335,0,0
-1.18096e-05,0.000111648,0.0991435,0,0
